Id,Conversa com problema,Oportunidade de melhoria,Anotação
5984f6f5-6e65-4159-ba90-550428247f74,Sim,Não,O assistente não identifica a necessidade do cliente em pagar o seu DAS
989a186c-f955-4c30-a496-dccd7e1fca27,Não,Não,O assistente identifica a necessidade do cliente em fazer um empréstimo e presta boas informações sobre o assunto
33d195fe-7995-4cae-b117-0e20b3515272,Não,Não,"O assistente identifica a necessidade do cliente em contestar um Pix e presta boas informações sobre o assunto, fazendo o transbordo quando solicitado"
9f37e0e8-ef9b-49aa-a788-6c6193c0c7b5,Sim,Não,"O assistente parece não identificar muito bem a situação do cliente em ter recebido uma cobrança duplicada, fazendo o transbordo quando necessário"
9b54b337-65fa-48a8-bbac-bd2672aca3cf,Não,Não,"O assistente identifica a necessidade do cliente em aumentar o limite de pagamentos de boleto e presta boas informações sobre o assunto, fazendo o transbordo quando solicitado"
1a1e0e56-62a1-4775-9252-254e9609739d,Não,Sim,"O assistente identifica a necessidade do cliente em entender como será usado seu crédito na fatura e presta boas informações sobre o assunto, mas poderia evitar dizer que ""o valor da fatura final já está 12R$ menor"", pois isso não acontece imediatamente e pode dar a impressão de que a compra seja maior do que realmente foi. Além disso, o assistente se confunde sobre como a compra foi realizada, dizendo que foi parcelada e que as cobranças poderiam vir nos meses seguintes, quando o cliente disse que comprou em uma só vez."
b4a7d848-e471-4451-ba4e-38e7f62b101f,Não,Sim,"O assistente identifica a necessidade do cliente em cancelar o seguro e presta boas informações sobre o assunto, mas mostra o caminho para cancelar um seguro específico (fatura protegida), quando poderia mostrar um caminho geral para cancelar qualquer seguro, visto que o usuário não especificou qual era"
6a11c7fd-4849-4b59-84f7-8d038b6a271f,Não,Não,"O assistente identifica a necessidade do cliente em receber seu reembolso e presta boas informações sobre o assunto, fazendo o transbordo quando solicitado"
51876803-a1ec-48e5-8904-75396c5be178,Não,Sim,"O assistente identifica a necessidade do cliente em saber os números de contato da Neon e presta boas informações sobre o assunto, mas poderia ter mencionado também as redes sociais (instagram e facebook)"
0599ec9a-8826-4f86-9824-f48745ab1b43,Não,Não,O assistente identifica a necessidade do cliente em saber o prazo do resgate do viracrédito e presta boas informações sobre o assunto
741fd68f-e211-484f-ab0f-b43e48a70c83,Não,Não,O assistente identifica a necessidade do cliente em solicitar um empréstimo e presta boas informações sobre o assunto
17a53e4c-d52f-47ff-9c4c-05e8149debfd,Não,Não,O assistente identifica a necessidade do cliente em rastrear o cartão e presta boas informações sobre o assunto
858cc6be-f533-4567-a3de-efaf3e2501ab,Não,Não,O assistente identifica a necessidade do cliente em pagar sua fatura em atraso e presta boas informações sobre o assunto
b305566e-123e-479d-b609-82a2f89ca376,Não,Não,O assistente identifica a necessidade do cliente em entender o bloqueio judicial em sua conta e presta boas informações sobre o assunto
1b4b6415-6d97-45a6-8779-d67c6a639464,Não,Não,O assistente identifica a necessidade do cliente em investir no viracrédito e presta boas informações sobre o assunto
d84c47d1-6eac-48f0-b486-4169d25fc160,Não,Sim,"O assistende identifica que o cliente precisa de ajuda com o cartão, e presta boas informações sobre o assunto, mas não consegue identificar exatamente qual é o problema"
1bdabcf0-e82b-46f3-9782-99d3c326f8c8,Não,Não,O assistente identifica a necessidade do cliente em parcelar sua compra a vista e presta boas informações sobre o assunto
bbf00122-ccec-49cc-b2b3-702f0375a532,Não,Não,O assistente identifica a necessidade do cliente em desbloquear seu cartão e presta boas informações sobre o assunto
7cde9a5c-2016-424b-913d-3c53fd4c55d7,Não,Não,O assistente identifica a necessidade do cliente em rastrear o cartão e presta boas informações sobre o assunto
e56c0a45-2715-4af6-9ae1-254cd84ad11a,Não,Não,O assistente identifica a necessidade do cliente em obter crédito e presta boas informações sobre o assunto
5f293f0c-990f-443b-a24f-c364a1e8b04d,Não,Não,O assistente identifica a necessidade do cliente em obter crédito e presta boas informações sobre o assunto
58a35b6b-4ef3-4749-a37c-b7674571b5f6,Não,Não,O assistente identifica a necessidade do cliente em solicitar um cartão e presta boas informações sobre o assunto
2dc6e5e8-f70c-437a-bc41-ac296b17b8e5,Não,Não,O assistente identifica a necessidade do cliente em solicitar a portabilidade da chave e presta boas informações sobre o assunto
1566eb7f-df6e-4744-86b4-9dfe047ed8d8,Não,Sim,"O assistente identifica a necessidade do cliente em entender porque seu cartão não funciona e presta boas informações sobre o assunto, mas poderia tentar investigar um pouco mais a causa disso antes de recomendar a emissão da segunda via. Poderia, por exemplo, considerar a possibilidade do cartão não ter sido usado ainda e precisar ser inserido com senha ou opção contactless desativada"
